title,description
Registered Nurse - RN - Burr Ridge Infusion,"Employment Type

Part time

Shift

Day Shift

Description

We are seeking Registered Nurses (RNs) who are dedicated to providing exceptional care to those we serve at Loyola Medicine. In return, we provide a supportive atmosphere where you can grow your career and make a lasting impact. We are a team-oriented unit that provides opportunities to manage a wide range of diagnoses and advancement of nursing skills. Join us and become #LoyolastRoNg!

Area: Special Procedures

Benefits and perks you need for you and your family:

Tuition reimbursement ($5250/year)Education stipend ($300/year)Certification bonus (one-time payment of $1000)Clinical ladder (up to $5.00/hr extra) / hiring into the ladder if criteria is metContinuing education (e-learning and/or discounted tuition for select programs)Referral rewardsDifferentials (charge/preceptor, nights, weekends, etc.)""Loyola nurse for life"" (growth opportunities through school, committees, leadership training, etc.)Childcare Employee Discount at Gottlieb’s Child Development Center

Our Promise To You

Joining Loyola Medicine is about being a part of something bigger! We treat the human spirit, in our patients and our colleagues. We are a part of a community, which believes in the wholeness of each individual, and serves to uplift others in mind, body and spirit. We are passionate about your growth and success in your career at Loyola Medicine. We value you, for who you are and the unique experiences you bring to our purpose-minded team. We also understand that we are better together.

Schedule: Full-time, Day Shift

Location: Loyola Center for Health @ Burr Ridge, IL

What Registered Nurse RN Will Need

A Degree from an accredited school/college of nursing is required - BSN or ADN*Chemotherapy Certification PreferredBLS Provider (accredited by the American Heart Association) required prior to hireIllinois Board of Nursing license prior to hire

Our Commitment to Diversity and Inclusion

Trinity Health is one of the largest not-for-profit, Catholic healthcare systems in the nation. Built on the foundation of our Mission and Core Values, we integrate diversity, equity, and inclusion in all that we do. Our colleagues have different lived experiences, customs, abilities, and talents. Together, we become our best selves. A diverse and inclusive workforce provides the most accessible and equitable care for those we serve. Trinity Health is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, status as a protected veteran, or any other status protected by law.

00486902"
"Athletic Trainer Certified, FT, Evenings","Inspire health. Serve with compassion. Be the difference.

Job Summary

The Athletic Trainer works under the supervision of the Sports Medicine Medical Director, area team physician, Manager of Athletic Training and Supervisor of Athletic Training. Individual must be BOC certified and possess current state of athletic training certification. NPI number required. The individual in this position performs a wide variety of duties requiring specific knowledge of the hospital's policies and procedures. S/He is expected to meet the hospital's professional, clinical, technical, communication and documentation requirements and standards and to make decisions based on established guidelines. S/He is required to demonstrate competent professionalism and courtesy during frequent interactions with management/administration, doctors, allied healthcare professionals, patients, general public and local schools, hospitals and sports teams.

Accountabilities

Provides athletic training services to athletes at appointed high school and any other assigned school(s) or site as required. Utilizes appropriate, sound and up-to-date clinical techniques to effectively assess and treat athletic injuries. Demonstrate basic knowledge of diagnosis/conditions seen in the profession of Athletic Training. Selects, performs and interprets the results of ATC examinations of appropriate systems. Accurately performs and interprets standardized assessments as determined by appropriateness of athlete.Identifies actual or potential problems that would impact the Athletic Training regimen as well as the overall inter-disciplinary care.Establishes specific treatment plan and goals based on the result of the initial assessment considering all aspects of athletes condition: age, education level, cultural background and/or any other services the athlete is receivingDecision-Making Skills: Ability to think critically and make independent decisions regarding the assessment, treatment, rehabilitation and return to play decisions per state certification guidelines and concussion law. - 40%Effectively communicates with appropriate members including physicians, rehab, parent/guardian, athletic directors, coaches, strength coaches. Documents athlete status in designated EMR or equivalent.Provides timely payroll information. - 10%Provide supervision and mentoring to new team members, Graduate Assistants, students. - 5%Completes annual mandatory computer based training, competency review and required employee health testing. - 5%Represent organization as outreach team member Attends coaches/parent meetings as available. - 5%Provides athletic training services at sponsored sporting events. (Special Events). - 5%Actively seeks related tasks in down time and performs other duties as assigned. Supplemental hospital staffing in times of need. - 10%Coordinates pre- and post-participation exams and acquires protective equipment for athletes as needed. - 2%Maintains confidentiality of patient information. Comply with any and all policies regarding healthcare delivery as indicated and outlined within the Athletic Injury Management section of assigned school or school district. - 8%Assists school with management of infection risks & protocols in athletics. Provides care in conjunction with DHEC and/or district guidelines. - 10%

Supervisory/Management Responsibilities - This is a non-management job that will report to a supervisor, manager, director, or executive.

Minimum Qualifications

Education - Bachelor's degree in Exercise Physiology, Athletic Training OR Physical Education w/ Athletic Training emphasis. Master's degree preferred.

Experience - No Previous Experience Required

Required Licensures

South Carolina DHEC Athletic Training Certificate required.

In Lieu Of

N/A

Other Required Skills/experience

Knowledge of office equipment

Data entry and mathematical skills

Knowledge of patient equipment such as vitals, suction, and defibrillators

Knowledge of basic SM equipment

Work Shift

Evening (United States of America)

Location

Patewood Memorial Hospital

Facility

2348 ATC Region 1

Department

23481000 ATC Region 1-Practice Operations

Share your talent with us! Our vision is simple: to transform healthcare for the benefits of the communities we serve. The transformation of healthcare requires talented individuals in every role here at Prisma Health.

R1093250"
Senior Back-End Engineer,"Be Part of Our Next Chapter

For over almost 60 years, our solutions have enabled impactful connections between some of the world’s leading brands and their customers. And while we’ve already done a lot of work we’re proud of, we’re just getting started!

We’re a global technology company focused on creating dynamic, smart, personalized and engaging customer experiences powered by our range of digital hardware, our proprietary content management system and our industry leading signage solutions. (For example: If you’ve ordered in-store or in the drive-thru at McDonald’s somewhere in the world in the last few years, chances are you’ve interacted with our digital solutions.) We work in over 50 global markets and have 9 offices around the world, with a global headquarters proudly located in our founding home of Sydney, Australia.

Coates Group has the values of a family-owned business and the innovative spirit of a start-up, both which fuel our purpose – Creating Connections. Empowering Partnerships. Always Evolving. Through hard work, dedication and creativity, we’ve become industry leaders who have won awards and set records while remaining focused on continual growth and evolution. We are a 2x Australia Good Design Award winner and successfully completed the largest hardware deployment in Quick Service Restaurant history.

We are curious, charismatic, authentic and we value and leverage the diversity of our crew. We are imaginers, kindness enthusiasts, experts, creators, thinkers, challengers, collaborators and over-achievers. And together, as a Crew, we are revolutionizing the way the world’s leading brands leverage technology to drive the best customer experiences.

Senior Back-Engineer

The Senior Back-End Engineer is responsible for developing projects for global and regional clients and contributing to the architecture, design, and development of new systems and services.

Responsibilities

 Develop projects for global and regional clients Bring concepts and ideas to life through purposeful development API design and development Adding and enhancing features into our current framework Contributing to the architecture, design, and development of new systems & services. Planning and estimation of tasks Peer reviewing code/work products Delivery of clean, robust, modular code Using adopting and best practices across relevant SDLC. Ensuring timely delivery of solution implementation. Work closely with Lead Engineers and stakeholders from other internal teams. Attending and Contributing to Daily Stand-Ups

Success Factors

 Quality of project deliveries Timeliness of project delivers Ability to integrate and perform responsibilities within the existing team structure. Ability to join the team in solving client requirements Work closely with Lead Engineers, Content Services, & other stakeholders to ensure alignment across outcomes. Work with the Product team to ensure close alignment with Product Roadmaps and successful delivery Maintain alignment with the Principal Engineer, Lead SW Architect, and DevOps Lead to ensure solutions integrate, and are validated, across the platform Planning for and guiding the creation of relevant solutions and implementation documentation.

Required

Qualifications & Experience:

 Minimum 4-5 years prior experience engineering backend solutions and services Advanced expertise in NodeJS Proficient in API design using RESTful techniques Proficient in API design using GraphQL Strong knowledge of modern JavaScript (ES6-2022) and TypeScript Strong expertise using JavaScript backend frameworks like NestJS, and Bookshelf Proficient in NoSQL DBs like MongoDB and DynamoDB Solid understanding of SQL Experience working with real-time systems that leverage WebSockets

Preferred

 Experience with Python and PHP Exposure to CI pipelines like GitLab, Travis, Circle, Bamboo Some experience in unit testing using tools such as Mocha, Jasmine, Jest, Cypress Solid understanding of data structure and database design

Capabilities

 Expert-level understanding of Engineering best practices Ability to work with Git version control Excellent interpersonal skills and a clear communicator Innovative problem-solving capabilities Can follow instructions and project briefs Keen eye for detail and a focus on quality Advocate for new and innovative technologies, and continuous improvement in our product line-up Ability to deliver in situations with ambiguity. Should be able to decompose complex problems and solve them.Please note Applicants for employment in the US must have work authorization that does not now or in the future require sponsorship of a visa for employment authorization in the United States.*Please note you need to be local to Chicago or be willing to move to Chicago at your expense*

About Coates

We are industry leaders who have won awards and set records. We are a 2x Australia Good Design Award winner and we successfully completed the largest hardware deployment in Quick Service Restaurant history.

We are industry leaders who have won awards and set records. We are a 2x Australia Good Design Award winner and we successfully completed the largest hardware deployment in Quick Service Restaurant history.

We are led by a forward-thinking CEO who has demonstrated a true passion for people and making Coates a place where people genuinely enjoy working. Our growth plans enable a focus on providing rapid career advancement opportunities for our talent.

Together, we are creators, allowing us to make our purpose a reality – to create immersive brand experiences for everyone.

Join a Crew that Cares

Be part of a global team of talented, ambitious, creative people that value integrity, individuality and inclusivity. (Ask us about our Equality + Empowerment Initiatives).

The benefits include an annual market competitive bonus program and our “Thrive Program” which includes a suite of flexible work options because we’re strong believers that you should never miss an important life or work moment. Thrive also provides dedicated time to prioritize our health and wellbeing (think virtual Yoga or meditation sessions), a Global Wellness paid day off to recharge as well as a “Give Back Day” to allow our Crew an opportunity to make an impact in the community.

Be inspired To Be More

We skip the red tape and aim to always stay nimble. We’re proud of where we’ve been and are energized by where we’re going. We encourage ideas and perspectives because we know the more we have, the better we are. We work hard but have fun along the way. We push the boundaries but keep it real and authentic. We believe in the values that got us here are the ones that will continue to lead us forward. We are excited by what we’ve accomplished, but know the best is yet to come.

Coates Group is an Equal Opportunity Employer and does not discriminate on the basis of race, color, creed, national or ethnic origin, gender, religion, disability, age, political affiliation or belief, disabled veteran, veteran of the Vietnam Era, or citizenship status (except in those special circumstances permitted or mandated by law)."
"Sales Director - U.S. Trade, Contract & Hospitality","The Company MasayaCo is a rapidly expanding, vertically integrated furniture, ADU, and building products company based in Nicaragua. We are striving to become a fully sustainable furniture and home products leader. MasayaCo handcrafts well-designed, generational-quality wood and woven furniture made from FSC Certified solid wood sourced from our own and other reforested teak plantations. We have a serious reforestation orientation: we’ve planted more than 1.2 million trees and manage over 1,300 acres of former cattle pastures. MasayaCo markets and sells to environmentally conscious residential customers and commercial clients in the US and Latin America through our showrooms and our ecommerce sites.Core Values:· We care about the planet and people.· We plant new forests to fight climate change. · We design and craft products that are made to last for generations. · We are who we say we are.· We are proud to be unique, colorful, and bold.
About the JobThe Sales Director of MasayaCo’s furniture division is a newly created position reporting to our Senior Vice President of Furniture. MasayaCo is seeking experienced, dynamic, and self-motivated commercial furniture professionals with strong relationship- and business-building records. The successful candidate will be responsible for leading, managing, and growing our U.S. Trade, Contract and Hospitality business. The Sales Director will help train, guide, and collaborate with our showroom-based sales associates and our growing network of independent sales representatives. Qualifications - Candidates should ideally have:· 5+ years of experience in the Trade, Contract and/or Hospitality channels.· Successful track record of building and maintaining meaningful customer relationships.· Contact list of dealers, A+D firms, procurement companies and designers.· History of generating strong, consistent, and profitable sales growth.· Passion for, and a background in design, architecture, or design.· Associate, B.S., or B.A. degree or equivalent experience.· Several years of retail sales/management experience.· Desire to make a meaningful positive impact on the environment.· Ability to effectively communicate, stay organized, prioritize, and make timely decisions.· Bilingual preferred (English and Spanish)
Key Responsibilities and Tasks:Become an expert on MasayaCo’s powerful story and unique products and capabilities.Introduce and promote the MasayaCo brand, products and custom capabilities to dealers, A+D firms, procurement companies and designers.Establish relationships with the following professional audience: architectural firms, interior design firms, hospitality companies, procurement agencies, contract furniture dealers, real estate developers, restaurant groups, and contract end-users.Position MasayaCo as a design leader and great resource for commercial projects.Build relationships with decision makers and influencers in the furniture selection process.Help manage projects and communicate effectively with key players in client organizations throughout the life of projects to ensure customer satisfaction and build trust and loyalty.Meet regularly with current clients and prospect new customers through in-person meetings, lunch and learns, product presentations, and via email and phone follow ups.Direct quotes, purchases, and availability inquiries to the proper parties at MasayaCo.Help evaluate, expand, and improve MasayaCo’s network of independent sales reps.Provide consultative sales experience for our customers and guide them to proper application. Share deep knowledge of MasayaCo products and capabilities.Assist in facilitating physical interaction with our products by providing examples of our work and getting customers into our showroom spaces.Arrange meetings and events in showrooms for existing and prospective customers.Request tools/collateral needed to reach the contract/trade audience most effectively.Build and maintain up-to-date projects and prospects data in HubSpot.Regularly report projects updates to executive team through KPI’s/dashboard.Communicate consistently and professionally with customers. Maintain brand standards in all communication and presentations.Maintain and properly leverage inventory and loaner program for in-market demos.
Compensation & Benefits:· Competitive annual salary.· Quarterly bonuses for meeting budgeted financial goals and achieving non-financial objectives.· Annual bonus for meeting budgeted financial goals and achieving non-financial objectives.· Health insurance reimbursement.· Deep discounts on company products.
Other Details:· Preferred Location: Los Angeles, CA· Hybrid with Some Travel Required"
Liquidity Risk Senior Analyst – Liquidity Governance and Crisis Continuum,"Job Description:

At Bank of America, we are guided by a common purpose to help make financial lives better through the power of every connection. Responsible Growth is how we run our company and how we deliver for our clients, teammates, communities and shareholders every day.

One of the keys to driving Responsible Growth is being a great place to work for our teammates around the world. We’re devoted to being a diverse and inclusive workplace for everyone. We hire individuals with a broad range of backgrounds and experiences and invest heavily in our teammates and their families by offering competitive benefits to support their physical, emotional, and financial well-being.

Bank of America believes both in the importance of working together and offering flexibility to our employees. We use a multi-faceted approach for flexibility, depending on the various roles in our organization.

Working at Bank of America will give you a great career with opportunities to learn, grow and make an impact, along with the power to make a difference. Join us!

Job Description:

This job is responsible for influencing and driving optimal bank-wide liquidity strategies by Lines of Business (LOBs) and legal entity in business as usual (BAU) and stress scenarios. Key responsibilities include overseeing and influencing liquidity utilization across the organization and providing input into process and control designs, operational risk mitigation, issue management, automation, and other initiatives across the bank.

Global Liquidity Management (“GLM”) is a division of Treasury that is tasked with driving responsible growth through timely and accurate measuring, monitoring, and managing of the enterprise’s liquidity position and by serving as a trusted partner to liquidity stakeholders across the company. Our business partners include Global Funding, Enterprise Capital Management, Finance, Audit, Risk, and Lines of Business. The group works with business units to ascribe limits, guidelines and direction to the business in line with corporate objectives and in accordance with risk appetite statements.

This role will focus on liquidity management and governance processes across the crisis continuum (including contingency funding planning, recovery planning and resolution planning) and support regulatory engagement. Duties and responsibilities will include the following:

Support development of GLM-owned Financial Contingency and Recovery Plan (“FCRP”) and Resolution Plan content, supporting documentation, regulatory requirements mapping, procedures and senior leadership material preparationPartner across Treasury, Enterprise Financial Risk (“EFR”) and Enterprise Scenario Planning and Execution (“ESPE”) to support coordination of FCRP and Resolution Planning activities such as participation in annual exercises, review of contingency options, and preparing materials for governance committeesOwnership of global contingency funding planning process and supporting activitiesOwnership of the U.S. broker-dealer contingency funding plansSupport annual assessment of contingency funding planning requirementsFacilitate international coordination across crisis continuum activitiesSupport material preparation for crisis continuum regulatory requestsOwnership of liquidity related crisis continuum Shared Platform for Interdependent Entity Relationships (“SPIDER”) mappingSupport monthly U.S. regulatory routinesSupport CLAR and other agency exam routinesManage global regulatory tracking and support

The GLM team is composed of approximately 100 employees located in New York, Charlotte, London and Asia.

Responsibilities:

Measures, analyzes, monitors, and reports on the bank's spot and forecasted liquidity position, provides guidance to business units to improve liquidity position, and supports regulatory and management liquidity reportingOversees processes, risks, and controls and tracks and monitors issues to ensure adherence with policies, risk standards, and compliance with internal and regulatory liquidity reporting requirementsPartners with other Lines of Business (LOBs) to determine limits, guidelines, and direction, ensuring alignment with overall business objectives and the bank's risk frameworkMonitors liquidity risk trends relating to business activities and correlations between business drivers and liquidity usage and builds out enhanced liquidity reportingReviews liquidity regulations and ensures documentation required for compliance is up to date with regulatory requirementsStreamlines reporting processes and builds out analytic capabilities using emerging technology (e.g., Alteryx, Tableau, etc.)Provides input into monthly and quarterly reporting, disclosures, and presentations for Risk Committees, Board of Directors, and enterprise and local regulators

Skills:

Analytical ThinkingFinancial Forecasting and ModelingLiquidity ManagementRegulatory ComplianceReportingAttention to DetailBenchmarkingData and Trend AnalysisFinancial AnalysisScenario Planning and Analysis

Required Qualifications:

BS/BA (Finance/Accounting preferred) - or, related work experienceComfort working with Enterprise Corporate Treasury conceptsStrong communication, coordination and planning skillsAdvanced PowerPoint and writing skillsCan work independently and creatively manage multiple requests efficientlyProblem solver/self-starter

Desired Qualifications:

Stress testing, Recovery and/or Resolution Planning experience Ability to interpret, organize and execute upon regulatory guidanceComfort with communicating with senior leaders and escalating issuesStrong communication experience - written & oralInitiative focusIntellectual curiosityControl / Enterprise mindsetAttention to detail2+ Years of analytical experience with a financial institution

Shift:

1st shift (United States of America)

Hours Per Week: 

40"
American Vice President(美洲区域副总裁),"Job responsibilities:1. Responsible for assisting the president in formulating the short and medium term business strategy of the whole region according to the overall strategy of the headquarters, and formulating the annual work plan and business budget report of the whole region;2. Assist the President to collect competitor information, formulate market development plans, and implement effective measures to improve performance according to changes in local regulations and policies;3. Assist the president in formulating regional product planning and product promotion plans, ensure the scientific and reasonable management of commodities, order and deploy regional varieties;4. Responsible for dealer management, performance management, bonus management, visit reception and other work together with the president;5. Responsible for emergency handling, daily personnel management and IT information construction of the branch;6. Complete other tasks assigned by group and regional leaders on time.Job Requirements:1. Bachelor degree or above, major in business administration, marketing and other management economics is preferred;2. More than 10 years working experience, more than 5 years working experience in direct selling industry, team management experience is preferred3. Familiar with the country's customs clearance, finance and taxation, product, logistics, direct sales and other legal systems;4. Have certain decision-making power, good executive power, business innovation ability, emergency resolution, coordination and response ability, and the ability to grasp market trends;5. English can be used as the working language, and can be simple Chinese."
Quality Inspector,"Title - QA Acceptance Inspector
Location - Bothell, WA
Contract - 12+ Months with possible extension
Top 3 Skills Required -Quality Assurance / Inspection Medical device/ ManufacturingMeasurement experience"
Technician,"We are looking for pool technicians with some experience who are tired of not being appreciated. Our pay scale is the highest in the industry. With A to Z Pools you are treated like a human being, not just a cog in the machine. We offer growth oppurtunties and are willing to help you acheive your potential. Our techs average starting pay scale is $48,000, and we offer bonuses on top of that. Give my office a call to discuss further."
Product Strategist - Embedded Finance,"Calling all innovators – find your future at Fiserv.

We’re Fiserv, a global leader in Fintech and payments, and we move money and information in a way that moves the world. We connect financial institutions, corporations, merchants, and consumers to one another millions of times a day – quickly, reliably, and securely. Any time you swipe your credit card, pay through a mobile app, or withdraw money from the bank, we’re involved. If you want to make an impact on a global scale, come make a difference at Fiserv.

Job Title

Product Strategist - Embedded Finance

What does a successful Product Strategist - Embedded Finance do at Fiserv?

As a successful Product Strategist, Embedded Finance, you will integrate financial services into commerce platforms to better serve our clients and their customers.

What You Will Do

You will partner and advise our clients on strategies that will optimize with their cash flow and achieve their business goals.

Lead cross functional teams to productize and build scalable processes for services enabled by different underlying solutions.Partner with Sales, Billing, Implementations, Pricing and Service teams to build best of breed end-to-end experiences for clients.Identify and gain consensus for operational improvements across client Implementation teams.Partner with the billing team to design streamlined billing covering multiple solutions that are part of our Embedded Finance offering.Collaborate with Finance teams to capture and forecast costs and revenue associated with embedded finance implementations and servicing.

What You Will Need To Have

A minimum of 4 years of payments processing experience.A minimum of 4 years of Embedded Finance experience.Payment platforms and banking experience.Bachelor’s degree in business, Finance, Economics, Computer Science or related field.Experience managing operations in acquirer / processor environment with vertical SaaS or enterprise merchants as clients.Experience negotiating and tracking SLAs across multi-processor platforms.

What Would Be Great To Have

Familiarity with payments technology, APIs and software development.Experience collaborating with Finance teams to capture and forecast costs and revenue associated with embedded finance implementations and servicing.

Perks At Work

We’re #FISVProud of our commitment to your overall well-being with a growing offering of physical, mental, emotional, and financial benefits from day one.Maintain a healthy work-life balance with paid holidays, generous time off policies, including Unlimited Recharge & Refuel for qualifying associates, and free counseling through our EAP.Plan for your future with competitive salaries, the Fiserv 401(k) Savings Plan, and our Employee Stock Purchase Plan.Recognize and be recognized by colleagues with our Living Proof program where you can exchange points for a variety of rewards.Prioritize your health with a variety of medical, dental, vision, life, and disability insurance options and a range of well-being resources through our Fuel Your Life program.Advance your career with training, development, certification, and internal mobility opportunities.Join Employee Resource Groups that promote our diverse and inclusive culture where associates can share perspectives, exchange ideas, and elevate careers.

Salary Range

$96,200.00 - $164,900.00

These pay ranges apply to employees working in New Jersey. Pay ranges for employees working in other states may differ.

This role is not eligible to be performed in Colorado, California, Hawaii, New York or Washington.

Please note that salary ranges provided for this role on external job boards are salary estimates made by outside parties and may not be accurate.

Thank You For Considering Employment With Fiserv. Please

Apply using your legal nameComplete the step-by-step profile and attach your resume (either is acceptable, both are preferable).

What You Should Know About Us

Fiserv is a global leader in payments and financial technology with more than 40,000 associates proudly serving clients in more than 100 countries. As one of Fortune® magazine's ""World's Most Admired Companies™"" 9 of the last 10 years, one of Fast Company’s Most Innovative Companies, and a top scorer on Bloomberg’s Gender-Equality Index, we are committed to innovation and excellence.

Our Commitment To Diversity And Inclusion

Fiserv is an Equal Opportunity Employer, and we welcome and encourage diversity in our workforce that reflects our world. All qualified applicants will receive consideration for employment without regard to race, color, religion, sexual orientation, gender identity, national origin, disability, protected veteran status, or any other category protected by law.

We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation.

Warning About Fake Job Posts

Please be aware of fraudulent job postings that are not affiliated with Fiserv. Fraudulent job postings may be used by cyber criminals to target your personally identifiable information and/or to steal money or financial information.

Any communications from a Fiserv representative will come from a legitimate business email address. We will not hire through text message, social media, or email alone, and any interviews will be conducted in person or through a secure video call. We won’t ask you for sensitive information nor will we ask you to pay anything during the hiring process. We also won’t send you a check to cash on Fiserv’s behalf.

If you see suspicious activity or believe that you have been the victim of a job posting scam, you should report it to your local FBI field office or to the FBI’s Internet Crime Complaint Center."
Licensed Sales Lead,"About Us

Want to bring the “care” back to the vision care industry? We're looking for charismatic types who are ready to be the heart of our brand. Whether it's a friendly voice over the phone, or a welcoming smile when a patient walks into your store, we need individuals who are passionate about helping customers look great and see great.

Pay Class: Full Time

Pay: $19.38 -$28.49 per hour

The Role

A Visionworks Licensed Sr. Optical Specialist-Lead/Sales Lead is the very face of our business and is dedicated to ensuring the best possible journey for every patient and customer. This person is trained and knowledgeable about optics, our products/services and managed vision care. The Sr. OS personally takes the patient/customer through the Visionworks experience ensuring their eyewear needs are met in a simple, human and bold way. A Senior Optical Specialist has 12 mo. prior industry (optical) experience.

The SR. OS currently has and maintains license requirements per state guidelines in this role and dispenses eyewear in states where required and/if licensed.

Delivers daily sales goals by ensuring the best execution of the Customer/Patient Experience journey.Engage with patients/customers and recommend products and services that meet their eye care needs.Measure patients/customers for their eyewear and maintain product/optical knowledge through cont. training and development to ensure eyewear is Right the First Time. May troubleshoot eyewear needs as necessary.Execute day-to-day operational activities to support the store's financial and customer experience goals including opening and closing the store as needed in LEAD positions only.

Qualifications

12 months optical experience necessary (within Visionworks or other organization) or ABO Certification in lieu of experienceHS diploma, GED or equivalent related job experienceMaintain Optician License requirements per state guidelines, as needed (Licensed

What we offer!

At Visionworks, we offer a generous, competitive benefits package (for our part timers, too!) and exclusive employee discounts —including but not limited to

Vision CoveragePaid Parental LeaveBereavement Leave401 (k) Savings PlanPaid Time offMilestone anniversary awardsMedical, Dental for Full TimersAnd more!

Everyone has a story that makes them who they are. At Visionworks, we’re looking for charismatic people who can lead authentically and with their own unique voice. We are actively committed to fostering an environment where all are seen and heard equally as we embrace Diversity, Equity and Inclusion (DE&I).

Visionworks is an equal opportunity employer, committed to the hiring, advancement and fair treatment of individuals without regard to race, color, religion, sex, age, sexual orientation, gender, national origin, ethnicity, disability or veteran status, or any other protected status designated by federal, state or local law.

Compensation range for the roles is listed above. Applicable salary rangers may differ across markets. Actual pay will be determined based on experience and other job-related factors permitted by law. As a part of the compensation package, this role may include eligible bonuses, equity, and commissions."
