recency,spend_6m,career_focus,hobby_focus,career_stage,new_user,platform,campaign_group,platform_visit,conversion,spend_next_14d
10,185.172,1,0,Career switch,0,Mobile,Hobby,0,0,0.0
6,427.804,1,1,Early career,1,Desktop,Control,0,0,0.0
7,234.84500000000003,0,1,Career switch,1,Desktop,Hobby,0,0,0.0
9,878.5790000000001,1,0,Early career,1,Desktop,Career,0,0,0.0
2,58.94200000000001,1,0,Mid/senior professional,0,Desktop,Hobby,0,0,0.0
6,175.27900000000002,0,1,Career switch,0,Mobile,Hobby,1,0,0.0
9,364.26,1,0,Career switch,1,Mobile,Hobby,0,0,0.0
9,60.346000000000004,0,1,Mid/senior professional,0,Mobile,Hobby,0,0,0.0
9,877.5910000000001,1,1,Early career,1,Mobile,Career,0,0,0.0
10,42.69200000000001,0,1,Mid/senior professional,1,Desktop,Hobby,0,0,0.0
7,713.583,0,1,Mid/senior professional,1,Mobile,Hobby,1,0,0.0
1,274.885,0,1,Mid/senior professional,1,Mobile,Hobby,0,0,0.0
5,835.77,0,1,Career switch,1,Multichannel,Hobby,0,0,0.0
2,132.132,0,1,Mid/senior professional,0,Desktop,Career,1,0,0.0
4,313.846,0,1,Early career,1,Multichannel,Control,0,0,0.0
3,75.569,1,0,Mid/senior professional,1,Desktop,Control,1,0,0.0
5,38.987,1,0,Career switch,0,Mobile,Career,0,0,0.0
9,146.055,1,0,Early career,0,Desktop,Career,0,0,0.0
11,284.752,1,1,Career switch,0,Mobile,Career,0,0,0.0
5,1076.946,1,0,Career switch,1,Multichannel,Career,0,0,0.0
9,38.987,0,1,Career switch,1,Mobile,Control,0,0,0.0
11,237.016,1,0,Career switch,0,Mobile,Career,0,0,0.0
2,153.92000000000002,1,0,Career switch,0,Desktop,Career,1,0,0.0
2,38.987,0,1,Mid/senior professional,1,Mobile,Control,0,0,0.0
4,101.712,1,0,Career switch,0,Desktop,Control,0,0,0.0
6,181.83100000000002,0,1,Early career,1,Desktop,Career,0,0,0.0
12,150.007,0,1,Career switch,0,Mobile,Career,1,0,0.0
6,211.874,0,1,Career switch,0,Desktop,Career,0,0,0.0
7,566.4490000000001,0,1,Mid/senior professional,1,Desktop,Control,0,0,0.0
2,264.355,1,0,Early career,0,Desktop,Control,0,0,0.0
2,308.789,0,1,Career switch,0,Mobile,Hobby,0,0,0.0
9,434.512,1,0,Mid/senior professional,0,Desktop,Career,0,0,0.0
6,166.41299999999998,0,1,Mid/senior professional,0,Desktop,Career,0,0,0.0
9,38.987,1,0,Career switch,1,Mobile,Career,0,0,0.0
3,38.987,1,0,Early career,0,Desktop,Hobby,0,0,0.0
4,284.336,0,1,Mid/senior professional,0,Multichannel,Hobby,0,0,0.0
1,668.876,0,1,Career switch,1,Desktop,Career,0,0,0.0
4,996.4110000000001,1,1,Mid/senior professional,1,Multichannel,Career,0,0,0.0
10,82.927,1,0,Early career,1,Mobile,Hobby,0,0,0.0
7,676.559,0,1,Career switch,1,Desktop,Career,0,0,0.0
11,308.06100000000004,1,1,Mid/senior professional,1,Mobile,Career,0,0,0.0
3,128.99900000000002,1,0,Early career,0,Desktop,Career,1,0,0.0
9,265.434,0,1,Career switch,0,Desktop,Hobby,0,0,0.0
2,639.626,1,0,Career switch,0,Mobile,Control,0,0,0.0
1,62.816,0,1,Mid/senior professional,0,Desktop,Control,0,0,0.0
10,38.987,1,0,Career switch,0,Mobile,Control,0,0,0.0
2,508.729,1,0,Career switch,0,Desktop,Control,0,0,0.0
1,948.6100000000001,1,1,Career switch,1,Desktop,Career,0,0,0.0
3,174.967,1,0,Mid/senior professional,1,Mobile,Hobby,1,0,0.0
10,79.417,0,1,Career switch,0,Desktop,Hobby,0,0,0.0
3,264.29,0,1,Career switch,0,Desktop,Control,0,0,0.0
9,241.05900000000003,1,0,Mid/senior professional,0,Desktop,Career,0,0,0.0
7,38.987,0,1,Mid/senior professional,1,Mobile,Career,0,0,0.0
9,102.206,1,0,Mid/senior professional,0,Desktop,Career,0,0,0.0
12,195.078,0,1,Career switch,0,Mobile,Control,0,0,0.0
6,55.458,1,0,Career switch,0,Desktop,Control,0,0,0.0
12,89.804,0,1,Early career,0,Mobile,Hobby,0,0,0.0
